frame,x,y,speed_mps
0,0.0000,1.8035,0.000000
1,0.0000,2.6273,0.022220
2,0.0000,3.0879,0.012424
3,0.0000,4.0056,0.024752
4,0.0000,4.5587,0.014920
5,0.0000,5.4518,0.024090
6,0.0000,5.1866,0.007154
7,0.0000,5.0452,0.003815
8,0.0000,4.2792,0.020662
9,0.0000,3.7645,0.013883
10,0.0000,2.8436,0.024840
11,0.0000,2.7324,0.002998
12,0.0000,3.2149,0.013012
13,0.0000,4.1144,0.024264
14,0.0000,5.2867,0.031619
15,0.0000,6.6166,0.035873
16,0.0000,7.5138,0.024198
17,0.0000,8.0635,0.014829
18,0.0000,7.8422,0.005971
19,0.0000,7.5831,0.006988
20,0.0000,7.3295,0.006841
21,0.0000,7.1087,0.005954
22,0.0000,6.4208,0.018555
23,0.0000,5.9185,0.013550
24,0.0000,5.5722,0.009341
25,0.0000,5.3570,0.005805
26,0.0000,5.2381,0.003206
27,0.0000,5.6991,0.012435
28,0.0000,6.0616,0.009777
29,0.0000,5.8187,0.006552
30,0.0000,5.1240,0.018738
31,0.0000,4.1143,0.027234
32,0.0000,2.9032,0.032668
33,0.0000,2.0879,0.021990
34,0.0000,1.5896,0.013441
35,0.0000,1.3266,0.007095
36,0.0000,1.2267,0.002693
37,0.0000,1.2302,0.000093
38,0.0000,1.2949,0.001747
39,0.0000,1.8992,0.016300
40,0.0000,2.3672,0.012623
41,0.0000,2.7077,0.009183
42,0.0000,2.9385,0.006228
43,0.0000,3.0802,0.003821
44,0.0000,2.6449,0.011742
45,0.0000,2.8155,0.004602
46,0.0000,2.9349,0.003220
47,0.0000,3.5224,0.015849
48,0.0000,3.9351,0.011130
49,0.0000,4.2014,0.007184
50,0.0000,3.8456,0.009597
51,0.0000,3.5510,0.007945
52,0.0000,2.8136,0.019890
53,0.0000,2.2816,0.014351
54,0.0000,1.9249,0.009620
55,0.0000,1.7071,0.005876
56,0.0000,1.5930,0.003077
57,0.0000,1.5504,0.001149
58,0.0000,1.5525,0.000056
59,0.0000,1.5794,0.000727
60,0.0000,1.6198,0.001089
61,0.0000,1.6625,0.001151
62,0.0000,1.7013,0.001048
63,0.0000,1.7365,0.000949
64,0.0000,1.7670,0.000823
65,0.0000,1.7883,0.000574
66,0.0000,2.3163,0.014241
67,0.0000,2.6962,0.010249
68,0.0000,3.4584,0.020559
69,0.0000,4.4926,0.027893
70,0.0000,5.7029,0.032646
71,0.0000,6.4971,0.021422
72,0.0000,7.4781,0.026463
73,0.0000,8.0853,0.016378
74,0.0000,8.4033,0.008575
75,0.0000,8.5225,0.003217
76,0.0000,8.5152,0.000197
77,0.0000,8.4403,0.002020
78,0.0000,7.8175,0.016799
79,0.0000,6.8217,0.026860
80,0.0000,5.5870,0.033304
81,0.0000,4.2208,0.036851
82,0.0000,2.7932,0.038508
83,0.0000,1.8667,0.024989
84,0.0000,1.3269,0.014562
85,0.0000,1.0682,0.006977
86,0.0000,0.9988,0.001872
87,0.0000,1.0464,0.001284
88,0.0000,1.1553,0.002937
89,0.0000,1.2886,0.003595
90,0.0000,1.4208,0.003566
91,0.0000,1.5384,0.003173
92,0.0000,1.6339,0.002577
93,0.0000,2.2163,0.015706
94,0.0000,3.1450,0.025050
95,0.0000,4.2992,0.031134
96,0.0000,5.5907,0.034836
97,0.0000,6.9484,0.036620
98,0.0000,7.8255,0.023660
99,0.0000,7.8190,0.000177
100,0.0000,7.1788,0.017268
101,0.0000,6.1108,0.028805
102,0.0000,4.7848,0.035768
103,0.0000,3.3179,0.039567
104,0.0000,2.3114,0.027147
105,0.0000,1.6773,0.017103
106,0.0000,1.3250,0.009504
107,0.0000,1.1750,0.004046
108,0.0000,1.1559,0.000516
109,0.0000,1.2141,0.001570
110,0.0000,1.3109,0.002612
111,0.0000,1.9301,0.016701
112,0.0000,2.9123,0.026493
113,0.0000,4.1279,0.032789
114,0.0000,4.9651,0.022581
115,0.0000,6.0057,0.028070
116,0.0000,6.1600,0.004162
117,0.0000,5.6572,0.013563
118,0.0000,5.2163,0.011894
119,0.0000,5.3725,0.004214
120,0.0000,5.4661,0.002523
121,0.0000,6.0283,0.015166
122,0.0000,6.9347,0.024448
123,0.0000,7.5548,0.016727
124,0.0000,7.9332,0.010207
125,0.0000,8.1452,0.005716
126,0.0000,8.2367,0.002471
127,0.0000,8.2443,0.000204
128,0.0000,7.6907,0.014932
129,0.0000,6.7511,0.025345
130,0.0000,5.5563,0.032226
131,0.0000,4.2126,0.036244
132,0.0000,2.7980,0.038156
133,0.0000,1.8773,0.024836
134,0.0000,1.3397,0.014499
135,0.0000,1.0808,0.006983
136,0.0000,1.0099,0.001913
137,0.0000,1.0524,0.001147
138,0.0000,1.1568,0.002814
139,0.0000,1.2863,0.003493
140,0.0000,1.4151,0.003475
141,0.0000,1.5296,0.003089
142,0.0000,1.6252,0.002578
143,0.0000,1.6999,0.002016
144,0.0000,1.7548,0.001479
145,0.0000,1.7911,0.000980
146,0.0000,1.8125,0.000576
147,0.0000,1.8247,0.000328
148,0.0000,2.3403,0.013908
149,0.0000,3.2194,0.023713
150,0.0000,3.8319,0.016521
151,0.0000,4.2264,0.010641
152,0.0000,4.4520,0.006086
153,0.0000,4.5584,0.002869
154,0.0000,4.0712,0.013142
155,0.0000,3.6778,0.010611
156,0.0000,3.8901,0.005727
157,0.0000,4.5580,0.018015
158,0.0000,4.5212,0.000993
159,0.0000,4.9800,0.012374
160,0.0000,5.8007,0.022137
161,0.0000,6.3604,0.015097
162,0.0000,6.7098,0.009426
163,0.0000,7.4152,0.019026
164,0.0000,7.8590,0.011969
165,0.0000,8.1120,0.006826
166,0.0000,8.2322,0.003240
167,0.0000,8.2623,0.000812
