frame,x,y,speed_mps
0,0.0000,1.8117,0.000000
1,0.0000,1.8133,0.000043
2,0.0000,1.8143,0.000027
3,0.0000,1.8164,0.000058
4,0.0000,1.8164,0.000001
5,0.0000,1.8178,0.000036
6,0.0000,1.8181,0.000009
7,0.0000,1.8198,0.000047
8,0.0000,1.8203,0.000013
9,0.0000,1.8209,0.000017
10,0.0000,1.8207,0.000007
11,0.0000,1.8213,0.000017
12,0.0000,1.8214,0.000003
13,0.0000,1.8217,0.000007
14,0.0000,1.8214,0.000009
15,0.0000,1.8213,0.000002
16,0.0000,1.8214,0.000003
17,0.0000,1.8211,0.000008
18,0.0000,1.8207,0.000011
19,0.0000,1.8212,0.000012
20,0.0000,1.8214,0.000005
21,0.0000,1.8216,0.000006
22,0.0000,1.8217,0.000004
23,0.0000,1.8218,0.000004
24,0.0000,1.8215,0.000009
25,0.0000,1.8218,0.000008
26,0.0000,1.8215,0.000010
27,0.0000,1.8216,0.000004
28,0.0000,1.8219,0.000009
29,0.0000,1.8222,0.000009
30,0.0000,1.8218,0.000012
31,0.0000,1.8218,0.000001
32,0.0000,1.8219,0.000003
33,0.0000,1.8223,0.000010
34,0.0000,1.8217,0.000016
35,0.0000,1.8212,0.000015
36,0.0000,1.8203,0.000022
37,0.0000,1.8197,0.000017
38,0.0000,1.8191,0.000017
39,0.0000,1.8193,0.000007
40,0.0000,1.8203,0.000025
41,0.0000,1.8214,0.000030
42,0.0000,1.8221,0.000019
43,0.0000,1.8222,0.000003
44,0.0000,1.8226,0.000010
45,0.0000,1.8227,0.000003
46,0.0000,1.8231,0.000010
47,0.0000,1.8231,0.000000
48,0.0000,1.8234,0.000010
49,0.0000,1.8237,0.000007
50,0.0000,1.8235,0.000006
51,0.0000,1.8230,0.000013
52,0.0000,1.8229,0.000001
53,0.0000,1.8232,0.000007
54,0.0000,1.8228,0.000011
55,0.0000,1.8228,0.000000
56,0.0000,1.8229,0.000003
57,0.0000,1.8232,0.000008
58,0.0000,1.8224,0.000020
59,0.0000,1.8222,0.000007
60,0.0000,1.8217,0.000014
61,0.0000,1.8213,0.000009
62,0.0000,1.8204,0.000024
63,0.0000,1.8203,0.000005
64,0.0000,1.8201,0.000004
65,0.0000,1.8203,0.000004
66,0.0000,1.8199,0.000009
67,0.0000,1.8199,0.000000
68,0.0000,1.8195,0.000012
69,0.0000,1.8195,0.000001
70,0.0000,1.8188,0.000019
71,0.0000,1.8187,0.000002
72,0.0000,1.8181,0.000016
73,0.0000,1.8186,0.000014
74,0.0000,1.8186,0.000001
75,0.0000,1.8195,0.000025
76,0.0000,1.8203,0.000022
77,0.0000,1.8219,0.000042
78,0.0000,1.8226,0.000019
79,0.0000,1.8234,0.000021
80,0.0000,1.8235,0.000004
81,0.0000,1.8233,0.000007
82,0.0000,1.8223,0.000027
83,0.0000,1.8212,0.000029
84,0.0000,1.8204,0.000023
85,0.0000,1.8201,0.000007
86,0.0000,1.8198,0.000008
87,0.0000,1.8199,0.000003
88,0.0000,1.8202,0.000008
89,0.0000,1.8208,0.000015
90,0.0000,1.8206,0.000005
91,0.0000,1.8203,0.000008
92,0.0000,1.8198,0.000013
93,0.0000,1.8197,0.000004
94,0.0000,1.8191,0.000016
95,0.0000,1.8191,0.000001
96,0.0000,1.8197,0.000016
97,0.0000,1.8207,0.000029
98,0.0000,1.8209,0.000006
99,0.0000,1.8221,0.000031
100,0.0000,1.8229,0.000023
101,0.0000,1.8232,0.000008
102,0.0000,1.8229,0.000010
103,0.0000,1.8235,0.000017
104,0.0000,1.8233,0.000005
105,0.0000,1.8237,0.000011
106,0.0000,1.8238,0.000003
107,0.0000,1.8243,0.000013
108,0.0000,1.8239,0.000010
109,0.0000,1.8234,0.000015
110,0.0000,1.8223,0.000030
111,0.0000,1.8214,0.000022
112,0.0000,1.8204,0.000029
113,0.0000,1.8199,0.000012
114,0.0000,1.8194,0.000014
115,0.0000,1.8193,0.000003
116,0.0000,1.8196,0.000008
117,0.0000,1.8203,0.000018
118,0.0000,1.8203,0.000002
119,0.0000,1.8207,0.000011
120,0.0000,1.8208,0.000003
121,0.0000,1.8209,0.000002
122,0.0000,1.8207,0.000005
123,0.0000,1.8210,0.000009
124,0.0000,1.8213,0.000006
125,0.0000,1.8220,0.000021
126,0.0000,1.8219,0.000002
127,0.0000,1.8219,0.000000
128,0.0000,1.8211,0.000023
129,0.0000,1.8201,0.000027
130,0.0000,1.8183,0.000047
131,0.0000,1.8171,0.000032
132,0.0000,1.8159,0.000034
133,0.0000,1.8154,0.000014
134,0.0000,1.8148,0.000014
135,0.0000,1.8151,0.000008
136,0.0000,1.8154,0.000008
137,0.0000,1.8166,0.000031
138,0.0000,1.8180,0.000039
139,0.0000,1.8200,0.000055
140,0.0000,1.8217,0.000045
141,0.0000,1.8239,0.000060
142,0.0000,1.8253,0.000037
143,0.0000,1.8265,0.000032
144,0.0000,1.8271,0.000016
145,0.0000,1.8276,0.000015
146,0.0000,1.8272,0.000013
147,0.0000,1.8266,0.000016
148,0.0000,1.8252,0.000036
149,0.0000,1.8233,0.000051
150,0.0000,1.8214,0.000052
151,0.0000,1.8204,0.000026
152,0.0000,1.8201,0.000010
153,0.0000,1.8207,0.000018
154,0.0000,1.8222,0.000039
155,0.0000,1.8238,0.000043
156,0.0000,1.8250,0.000032
157,0.0000,1.8258,0.000022
158,0.0000,1.8257,0.000003
159,0.0000,1.8258,0.000003
160,0.0000,1.8258,0.000001
161,0.0000,1.8262,0.000012
162,0.0000,1.8262,0.000000
163,0.0000,1.8269,0.000018
164,0.0000,1.8272,0.000009
165,0.0000,1.8277,0.000013
166,0.0000,1.8274,0.000009
167,0.0000,1.8276,0.000005
168,0.0000,1.8261,0.000040
169,0.0000,1.8236,0.000066
170,0.0000,1.8204,0.000086
171,0.0000,1.8172,0.000088
172,0.0000,1.8135,0.000097
173,0.0000,1.8112,0.000062
174,0.0000,1.8099,0.000037
175,0.0000,1.8091,0.000021
176,0.0000,1.8097,0.000016
177,0.0000,1.8112,0.000040
178,0.0000,1.8135,0.000063
179,0.0000,1.8165,0.000081
180,0.0000,1.8199,0.000090
181,0.0000,1.8225,0.000070
182,0.0000,1.8242,0.000047
183,0.0000,1.8252,0.000027
184,0.0000,1.8256,0.000011
185,0.0000,1.8258,0.000005
186,0.0000,1.8257,0.000002
187,0.0000,1.8258,0.000001
188,0.0000,1.8259,0.000004
189,0.0000,1.8260,0.000002
190,0.0000,1.8257,0.000007
191,0.0000,1.8257,0.000001
192,0.0000,1.8259,0.000004
193,0.0000,1.8261,0.000006
194,0.0000,1.8260,0.000001
195,0.0000,1.8260,0.000001
196,0.0000,1.8258,0.000004
197,0.0000,1.8256,0.000007
198,0.0000,1.8245,0.000028
199,0.0000,1.8237,0.000022
200,0.0000,1.8227,0.000029
201,0.0000,1.8215,0.000031
202,0.0000,1.8200,0.000040
203,0.0000,1.8187,0.000036
204,0.0000,1.8172,0.000040
205,0.0000,1.8159,0.000034
206,0.0000,1.8148,0.000031
207,0.0000,1.8139,0.000024
208,0.0000,1.8138,0.000003
209,0.0000,1.8148,0.000026
210,0.0000,1.8157,0.000025
211,0.0000,1.8170,0.000035
212,0.0000,1.8184,0.000040
213,0.0000,1.8202,0.000048
214,0.0000,1.8208,0.000017
215,0.0000,1.8216,0.000020
216,0.0000,1.8220,0.000013
217,0.0000,1.8223,0.000006
218,0.0000,1.8219,0.000009
219,0.0000,1.8222,0.000008
220,0.0000,1.8228,0.000017
221,0.0000,1.8237,0.000023
222,0.0000,1.8240,0.000007
223,0.0000,1.8243,0.000009
224,0.0000,1.8247,0.000012
225,0.0000,1.8253,0.000015
226,0.0000,1.8254,0.000003
227,0.0000,1.8257,0.000008
228,0.0000,1.8252,0.000014
229,0.0000,1.8245,0.000019
230,0.0000,1.8229,0.000042
231,0.0000,1.8213,0.000043
232,0.0000,1.8199,0.000040
233,0.0000,1.8197,0.000004
234,0.0000,1.8194,0.000009
235,0.0000,1.8195,0.000003
236,0.0000,1.8199,0.000011
