frame,x,y,speed_mps
0,0.0000,7.8426,0.000000
1,0.0000,7.8371,0.000149
2,0.0000,7.8309,0.000165
3,0.0000,7.8226,0.000224
4,0.0000,7.8205,0.000057
5,0.0000,7.8211,0.000016
6,0.0000,7.8227,0.000043
7,0.0000,7.8244,0.000045
8,0.0000,7.8312,0.000184
9,0.0000,7.8380,0.000183
10,0.0000,7.8414,0.000092
11,0.0000,7.8409,0.000015
12,0.0000,7.8393,0.000043
13,0.0000,7.8364,0.000076
14,0.0000,7.8349,0.000041
15,0.0000,7.8342,0.000021
16,0.0000,7.8363,0.000058
17,0.0000,7.8373,0.000026
18,0.0000,7.8383,0.000027
19,0.0000,7.8381,0.000005
20,0.0000,7.8362,0.000050
21,0.0000,7.8363,0.000003
22,0.0000,7.8376,0.000034
23,0.0000,7.8370,0.000015
24,0.0000,7.8318,0.000142
25,0.0000,7.8281,0.000098
26,0.0000,7.8237,0.000119
27,0.0000,7.8213,0.000065
28,0.0000,7.8204,0.000023
29,0.0000,7.8252,0.000127
30,0.0000,7.8294,0.000113
31,0.0000,7.8346,0.000141
32,0.0000,7.8374,0.000076
33,0.0000,7.8390,0.000043
34,0.0000,7.8352,0.000103
35,0.0000,7.8290,0.000167
36,0.0000,7.8215,0.000203
37,0.0000,7.8186,0.000079
38,0.0000,7.8184,0.000006
39,0.0000,7.8219,0.000096
40,0.0000,7.8240,0.000055
41,0.0000,7.8244,0.000011
42,0.0000,7.8254,0.000026
43,0.0000,7.8237,0.000044
44,0.0000,7.8182,0.000149
45,0.0000,7.8182,0.000000
46,0.0000,7.8223,0.000109
47,0.0000,7.8227,0.000012
48,0.0000,7.8240,0.000035
49,0.0000,7.8295,0.000149
50,0.0000,7.8334,0.000106
51,0.0000,7.8352,0.000047
52,0.0000,7.8371,0.000051
53,0.0000,7.8386,0.000042
54,0.0000,7.8373,0.000036
55,0.0000,7.8360,0.000034
56,0.0000,7.8353,0.000020
57,0.0000,7.8347,0.000016
58,0.0000,7.8382,0.000095
59,0.0000,7.8416,0.000091
60,0.0000,7.8409,0.000019
61,0.0000,7.8412,0.000007
62,0.0000,7.8464,0.000140
63,0.0000,7.8415,0.000130
64,0.0000,7.8331,0.000227
65,0.0000,7.8330,0.000003
66,0.0000,7.8329,0.000003
67,0.0000,7.8239,0.000243
68,0.0000,7.8192,0.000126
69,0.0000,7.8250,0.000155
70,0.0000,7.8303,0.000143
71,0.0000,7.8320,0.000045
72,0.0000,7.8352,0.000089
73,0.0000,7.8418,0.000177
74,0.0000,7.8407,0.000030
75,0.0000,7.8374,0.000090
76,0.0000,7.8337,0.000099
77,0.0000,7.8346,0.000026
78,0.0000,7.8374,0.000074
79,0.0000,7.8437,0.000171
80,0.0000,7.8457,0.000054
81,0.0000,7.8512,0.000147
82,0.0000,7.8560,0.000130
83,0.0000,7.8587,0.000073
84,0.0000,7.8608,0.000057
85,0.0000,7.8632,0.000065
86,0.0000,7.8655,0.000062
87,0.0000,7.8654,0.000002
88,0.0000,7.8603,0.000137
89,0.0000,7.8506,0.000263
90,0.0000,7.8405,0.000271
91,0.0000,7.8290,0.000311
92,0.0000,7.8170,0.000324
93,0.0000,7.8062,0.000290
94,0.0000,7.7997,0.000175
95,0.0000,7.7941,0.000151
96,0.0000,7.7911,0.000082
97,0.0000,7.7880,0.000084
98,0.0000,7.7929,0.000134
99,0.0000,7.7968,0.000104
100,0.0000,7.8028,0.000162
101,0.0000,7.8086,0.000157
102,0.0000,7.8209,0.000330
103,0.0000,7.8244,0.000096
104,0.0000,7.8248,0.000011
105,0.0000,7.8218,0.000081
106,0.0000,7.8199,0.000053
107,0.0000,7.8132,0.000179
108,0.0000,7.8100,0.000088
109,0.0000,7.8113,0.000035
110,0.0000,7.8158,0.000121
111,0.0000,7.8166,0.000024
112,0.0000,7.8184,0.000047
113,0.0000,7.8197,0.000036
114,0.0000,7.8192,0.000013
115,0.0000,7.8195,0.000009
116,0.0000,7.8197,0.000004
117,0.0000,7.8170,0.000071
118,0.0000,7.8184,0.000037
119,0.0000,7.8272,0.000238
120,0.0000,7.8311,0.000104
121,0.0000,7.8362,0.000138
122,0.0000,7.8476,0.000308
123,0.0000,7.8555,0.000213
124,0.0000,7.8495,0.000163
125,0.0000,7.8499,0.000012
126,0.0000,7.8518,0.000050
127,0.0000,7.8506,0.000031
128,0.0000,7.8467,0.000107
129,0.0000,7.8481,0.000038
130,0.0000,7.8460,0.000057
131,0.0000,7.8407,0.000141
132,0.0000,7.8327,0.000217
133,0.0000,7.8246,0.000218
134,0.0000,7.8234,0.000032
135,0.0000,7.8220,0.000037
136,0.0000,7.8207,0.000035
137,0.0000,7.8242,0.000094
138,0.0000,7.8330,0.000239
139,0.0000,7.8376,0.000123
140,0.0000,7.8420,0.000119
141,0.0000,7.8478,0.000157
142,0.0000,7.8519,0.000111
143,0.0000,7.8519,0.000001
144,0.0000,7.8490,0.000078
145,0.0000,7.8476,0.000040
146,0.0000,7.8478,0.000006
147,0.0000,7.8445,0.000087
148,0.0000,7.8396,0.000132
149,0.0000,7.8367,0.000080
150,0.0000,7.8364,0.000007
151,0.0000,7.8314,0.000136
152,0.0000,7.8270,0.000119
153,0.0000,7.8264,0.000014
