frame,x,y,speed_mps
0,0.0000,1.7964,0.000000
1,0.0000,1.7972,0.000021
2,0.0000,1.7977,0.000013
3,0.0000,1.7977,0.000002
4,0.0000,1.7983,0.000014
5,0.0000,1.7987,0.000012
6,0.0000,1.7981,0.000015
7,0.0000,1.7978,0.000009
8,0.0000,1.7983,0.000014
9,0.0000,1.7985,0.000004
10,0.0000,1.7984,0.000002
11,0.0000,1.7981,0.000007
12,0.0000,1.7978,0.000010
13,0.0000,1.7969,0.000025
14,0.0000,1.7964,0.000013
15,0.0000,1.7959,0.000013
16,0.0000,1.7956,0.000008
17,0.0000,1.7956,0.000000
18,0.0000,1.7953,0.000007
19,0.0000,1.7939,0.000038
20,0.0000,1.7928,0.000031
21,0.0000,1.7915,0.000036
22,0.0000,1.7903,0.000032
23,0.0000,1.7894,0.000024
24,0.0000,1.7895,0.000002
25,0.0000,1.7895,0.000001
26,0.0000,1.7895,0.000001
27,0.0000,1.7889,0.000015
28,0.0000,1.7889,0.000001
29,0.0000,1.7891,0.000006
30,0.0000,1.7895,0.000010
31,0.0000,1.7903,0.000021
32,0.0000,1.7913,0.000029
33,0.0000,1.7921,0.000020
34,0.0000,1.7922,0.000004
35,0.0000,1.7921,0.000003
36,0.0000,1.7916,0.000013
37,0.0000,1.7908,0.000022
38,0.0000,1.7902,0.000016
39,0.0000,1.7902,0.000002
40,0.0000,1.7903,0.000004
41,0.0000,1.7905,0.000004
42,0.0000,1.7910,0.000014
43,0.0000,1.7914,0.000011
44,0.0000,1.7915,0.000003
45,0.0000,1.7915,0.000001
46,0.0000,1.7916,0.000000
47,0.0000,1.7917,0.000004
48,0.0000,1.7916,0.000002
49,0.0000,1.7918,0.000003
50,0.0000,1.7918,0.000002
51,0.0000,1.7920,0.000005
52,0.0000,1.7921,0.000004
53,0.0000,1.7922,0.000002
54,0.0000,1.7923,0.000001
55,0.0000,1.7919,0.000011
56,0.0000,1.7917,0.000004
57,0.0000,1.7916,0.000002
58,0.0000,1.7921,0.000012
59,0.0000,1.7922,0.000002
60,0.0000,1.7930,0.000021
61,0.0000,1.7944,0.000038
62,0.0000,1.7955,0.000031
63,0.0000,1.7959,0.000011
64,0.0000,1.7963,0.000012
65,0.0000,1.7964,0.000002
66,0.0000,1.7951,0.000035
67,0.0000,1.7938,0.000036
68,0.0000,1.7932,0.000017
69,0.0000,1.7931,0.000002
70,0.0000,1.7933,0.000005
71,0.0000,1.7942,0.000025
72,0.0000,1.7954,0.000032
73,0.0000,1.7964,0.000027
74,0.0000,1.7972,0.000023
75,0.0000,1.7983,0.000028
76,0.0000,1.7991,0.000022
77,0.0000,1.8004,0.000035
78,0.0000,1.8012,0.000023
79,0.0000,1.8013,0.000002
80,0.0000,1.8009,0.000011
81,0.0000,1.8008,0.000002
82,0.0000,1.7997,0.000030
83,0.0000,1.7987,0.000027
84,0.0000,1.7984,0.000008
85,0.0000,1.7981,0.000009
86,0.0000,1.7972,0.000023
87,0.0000,1.7965,0.000020
88,0.0000,1.7957,0.000022
89,0.0000,1.7945,0.000031
90,0.0000,1.7934,0.000029
91,0.0000,1.7926,0.000023
92,0.0000,1.7918,0.000022
93,0.0000,1.7913,0.000013
94,0.0000,1.7911,0.000006
95,0.0000,1.7909,0.000006
96,0.0000,1.7906,0.000006
97,0.0000,1.7907,0.000002
98,0.0000,1.7912,0.000012
99,0.0000,1.7920,0.000023
100,0.0000,1.7935,0.000040
101,0.0000,1.7952,0.000046
102,0.0000,1.7967,0.000040
103,0.0000,1.7973,0.000017
104,0.0000,1.7976,0.000008
105,0.0000,1.7977,0.000003
106,0.0000,1.7975,0.000005
107,0.0000,1.7975,0.000002
108,0.0000,1.7979,0.000011
109,0.0000,1.7986,0.000020
110,0.0000,1.7989,0.000009
111,0.0000,1.7995,0.000014
112,0.0000,1.8001,0.000017
113,0.0000,1.8005,0.000011
114,0.0000,1.8005,0.000001
115,0.0000,1.8004,0.000005
116,0.0000,1.7998,0.000014
117,0.0000,1.7991,0.000020
118,0.0000,1.7984,0.000019
119,0.0000,1.7976,0.000022
120,0.0000,1.7975,0.000001
121,0.0000,1.7979,0.000010
122,0.0000,1.7979,0.000002
123,0.0000,1.7978,0.000003
124,0.0000,1.7978,0.000002
125,0.0000,1.7971,0.000019
126,0.0000,1.7963,0.000022
127,0.0000,1.7954,0.000024
128,0.0000,1.7948,0.000016
129,0.0000,1.7940,0.000023
130,0.0000,1.7933,0.000019
131,0.0000,1.7925,0.000020
132,0.0000,1.7925,0.000001
133,0.0000,1.7922,0.000009
134,0.0000,1.7922,0.000000
135,0.0000,1.7922,0.000002
136,0.0000,1.7920,0.000006
137,0.0000,1.7915,0.000013
138,0.0000,1.7918,0.000008
139,0.0000,1.7922,0.000011
140,0.0000,1.7925,0.000009
141,0.0000,1.7931,0.000015
142,0.0000,1.7938,0.000020
143,0.0000,1.7937,0.000002
144,0.0000,1.7935,0.000005
145,0.0000,1.7931,0.000011
146,0.0000,1.7930,0.000004
147,0.0000,1.7929,0.000003
148,0.0000,1.7930,0.000005
149,0.0000,1.7931,0.000001
150,0.0000,1.7930,0.000003
151,0.0000,1.7927,0.000007
152,0.0000,1.7919,0.000021
153,0.0000,1.7911,0.000023
154,0.0000,1.7905,0.000016
155,0.0000,1.7904,0.000003
156,0.0000,1.7899,0.000012
157,0.0000,1.7901,0.000004
158,0.0000,1.7908,0.000020
159,0.0000,1.7919,0.000029
160,0.0000,1.7935,0.000043
161,0.0000,1.7954,0.000050
162,0.0000,1.7968,0.000038
163,0.0000,1.7976,0.000022
164,0.0000,1.7979,0.000007
165,0.0000,1.7976,0.000008
166,0.0000,1.7974,0.000004
167,0.0000,1.7972,0.000005
168,0.0000,1.7974,0.000004
169,0.0000,1.7973,0.000003
170,0.0000,1.7970,0.000007
171,0.0000,1.7965,0.000015
172,0.0000,1.7961,0.000011
173,0.0000,1.7956,0.000012
174,0.0000,1.7954,0.000008
175,0.0000,1.7954,0.000000
176,0.0000,1.7954,0.000001
177,0.0000,1.7956,0.000006
178,0.0000,1.7955,0.000004
179,0.0000,1.7952,0.000007
180,0.0000,1.7952,0.000000
181,0.0000,1.7952,0.000000
182,0.0000,1.7950,0.000004
183,0.0000,1.7951,0.000002
184,0.0000,1.7950,0.000003
185,0.0000,1.7946,0.000011
186,0.0000,1.7940,0.000016
187,0.0000,1.7934,0.000016
188,0.0000,1.7930,0.000010
189,0.0000,1.7931,0.000003
190,0.0000,1.7930,0.000003
191,0.0000,1.7929,0.000004
192,0.0000,1.7931,0.000007
193,0.0000,1.7935,0.000010
194,0.0000,1.7940,0.000012
195,0.0000,1.7942,0.000006
196,0.0000,1.7946,0.000011
197,0.0000,1.7942,0.000011
198,0.0000,1.7932,0.000027
