frame,x,y,speed_mps
0,4.8823,0.0000,0.000000
1,4.8821,0.0000,0.000003
2,4.8821,0.0000,0.000000
3,4.8820,0.0000,0.000001
4,4.8820,0.0000,0.000001
5,4.8820,0.0000,0.000000
6,4.8821,0.0000,0.000001
7,4.8820,0.0000,0.000001
8,4.8819,0.0000,0.000001
9,4.8821,0.0000,0.000001
10,4.8824,0.0000,0.000004
11,4.8826,0.0000,0.000003
12,4.8827,0.0000,0.000001
13,4.8827,0.0000,0.000000
14,4.8828,0.0000,0.000002
15,4.8827,0.0000,0.000001
16,4.8825,0.0000,0.000003
17,4.8824,0.0000,0.000002
18,4.8823,0.0000,0.000001
19,4.8821,0.0000,0.000002
20,4.8820,0.0000,0.000002
21,4.8818,0.0000,0.000002
22,4.8818,0.0000,0.000000
23,4.8819,0.0000,0.000001
24,4.8818,0.0000,0.000001
25,4.8818,0.0000,0.000000
26,4.8820,0.0000,0.000003
27,4.8820,0.0000,0.000000
28,4.8821,0.0000,0.000001
29,4.8822,0.0000,0.000001
30,4.8822,0.0000,0.000001
31,4.8822,0.0000,0.000001
32,4.8821,0.0000,0.000000
33,4.8820,0.0000,0.000003
34,4.8819,0.0000,0.000000
35,4.8819,0.0000,0.000000
36,4.8818,0.0000,0.000002
37,4.8816,0.0000,0.000002
38,4.8816,0.0000,0.000000
39,4.8816,0.0000,0.000000
40,4.8815,0.0000,0.000001
41,4.8816,0.0000,0.000002
42,4.8819,0.0000,0.000004
43,4.8822,0.0000,0.000003
44,4.8821,0.0000,0.000001
45,4.8822,0.0000,0.000001
46,4.8822,0.0000,0.000000
47,4.8821,0.0000,0.000002
48,4.8819,0.0000,0.000002
49,4.8820,0.0000,0.000001
50,4.8819,0.0000,0.000001
51,4.8819,0.0000,0.000001
52,4.8817,0.0000,0.000002
53,4.8818,0.0000,0.000000
54,4.8818,0.0000,0.000001
55,4.8818,0.0000,0.000000
56,4.8817,0.0000,0.000001
57,4.8817,0.0000,0.000000
58,4.8818,0.0000,0.000001
59,4.8818,0.0000,0.000000
60,4.8818,0.0000,0.000000
61,4.8818,0.0000,0.000000
62,4.8815,0.0000,0.000004
63,4.8812,0.0000,0.000005
64,4.8807,0.0000,0.000006
65,4.8804,0.0000,0.000004
66,4.8802,0.0000,0.000004
67,4.8803,0.0000,0.000002
68,4.8804,0.0000,0.000001
69,4.8808,0.0000,0.000005
70,4.8812,0.0000,0.000006
71,4.8816,0.0000,0.000006
72,4.8820,0.0000,0.000005
73,4.8823,0.0000,0.000005
74,4.8827,0.0000,0.000005
75,4.8830,0.0000,0.000004
76,4.8833,0.0000,0.000004
77,4.8836,0.0000,0.000003
78,4.8838,0.0000,0.000003
79,4.8837,0.0000,0.000001
80,4.8834,0.0000,0.000004
81,4.8830,0.0000,0.000005
82,4.8826,0.0000,0.000005
83,4.8823,0.0000,0.000005
84,4.8819,0.0000,0.000005
85,4.8817,0.0000,0.000003
86,4.8817,0.0000,0.000000
87,4.8818,0.0000,0.000001
88,4.8819,0.0000,0.000001
89,4.8819,0.0000,0.000000
90,4.8821,0.0000,0.000002
91,4.8821,0.0000,0.000000
92,4.8820,0.0000,0.000001
93,4.8819,0.0000,0.000000
94,4.8821,0.0000,0.000003
95,4.8822,0.0000,0.000001
96,4.8822,0.0000,0.000000
97,4.8821,0.0000,0.000001
98,4.8821,0.0000,0.000001
99,4.8820,0.0000,0.000001
100,4.8818,0.0000,0.000003
101,4.8818,0.0000,0.000001
102,4.8818,0.0000,0.000000
103,4.8818,0.0000,0.000000
104,4.8818,0.0000,0.000001
105,4.8821,0.0000,0.000003
106,4.8820,0.0000,0.000001
107,4.8820,0.0000,0.000000
108,4.8820,0.0000,0.000000
109,4.8820,0.0000,0.000000
110,4.8820,0.0000,0.000001
111,4.8823,0.0000,0.000004
112,4.8825,0.0000,0.000002
113,4.8825,0.0000,0.000001
114,4.8825,0.0000,0.000001
115,4.8823,0.0000,0.000002
116,4.8821,0.0000,0.000003
117,4.8822,0.0000,0.000000
118,4.8822,0.0000,0.000001
119,4.8825,0.0000,0.000004
