frame,x,y,speed_mps
0,0.0000,1.8127,0.000000
1,0.0000,1.8128,0.000002
2,0.0000,1.8128,0.000000
3,0.0000,1.8146,0.000049
4,0.0000,1.8148,0.000006
5,0.0000,1.8169,0.000056
6,0.0000,1.8181,0.000031
7,0.0000,1.8203,0.000060
8,0.0000,1.8203,0.000001
9,0.0000,1.8198,0.000012
10,0.0000,1.8186,0.000032
11,0.0000,1.8190,0.000011
12,0.0000,1.8188,0.000007
13,0.0000,1.8191,0.000010
14,0.0000,1.8196,0.000014
15,0.0000,1.8204,0.000020
16,0.0000,1.8209,0.000014
17,0.0000,1.8212,0.000008
18,0.0000,1.8214,0.000004
19,0.0000,1.8221,0.000020
20,0.0000,1.8220,0.000003
21,0.0000,1.8224,0.000010
22,0.0000,1.8224,0.000001
23,0.0000,1.8222,0.000005
24,0.0000,1.8216,0.000018
25,0.0000,1.8223,0.000020
26,0.0000,1.8222,0.000003
27,0.0000,1.8223,0.000002
28,0.0000,1.8225,0.000005
29,0.0000,1.8230,0.000013
30,0.0000,1.8222,0.000020
31,0.0000,1.8218,0.000011
32,0.0000,1.8214,0.000010
33,0.0000,1.8214,0.000000
34,0.0000,1.8203,0.000031
35,0.0000,1.8191,0.000033
36,0.0000,1.8173,0.000047
37,0.0000,1.8163,0.000029
38,0.0000,1.8155,0.000022
39,0.0000,1.8157,0.000006
40,0.0000,1.8171,0.000039
41,0.0000,1.8190,0.000051
42,0.0000,1.8200,0.000028
43,0.0000,1.8201,0.000001
44,0.0000,1.8208,0.000021
45,0.0000,1.8217,0.000022
46,0.0000,1.8226,0.000025
47,0.0000,1.8233,0.000020
48,0.0000,1.8244,0.000030
49,0.0000,1.8245,0.000001
50,0.0000,1.8236,0.000025
51,0.0000,1.8229,0.000018
52,0.0000,1.8229,0.000000
53,0.0000,1.8230,0.000004
54,0.0000,1.8228,0.000006
55,0.0000,1.8231,0.000009
56,0.0000,1.8232,0.000002
57,0.0000,1.8236,0.000010
58,0.0000,1.8230,0.000015
59,0.0000,1.8229,0.000003
60,0.0000,1.8227,0.000006
61,0.0000,1.8227,0.000000
62,0.0000,1.8219,0.000022
63,0.0000,1.8219,0.000000
64,0.0000,1.8214,0.000015
65,0.0000,1.8206,0.000021
66,0.0000,1.8192,0.000036
67,0.0000,1.8183,0.000025
68,0.0000,1.8168,0.000042
69,0.0000,1.8159,0.000023
70,0.0000,1.8148,0.000031
71,0.0000,1.8146,0.000005
72,0.0000,1.8139,0.000018
73,0.0000,1.8151,0.000033
74,0.0000,1.8160,0.000024
75,0.0000,1.8180,0.000052
76,0.0000,1.8198,0.000051
77,0.0000,1.8219,0.000055
78,0.0000,1.8226,0.000020
79,0.0000,1.8235,0.000024
80,0.0000,1.8240,0.000013
81,0.0000,1.8235,0.000013
82,0.0000,1.8229,0.000015
83,0.0000,1.8223,0.000017
84,0.0000,1.8213,0.000027
85,0.0000,1.8206,0.000019
86,0.0000,1.8198,0.000022
87,0.0000,1.8194,0.000010
88,0.0000,1.8189,0.000014
89,0.0000,1.8191,0.000007
90,0.0000,1.8186,0.000015
91,0.0000,1.8182,0.000010
92,0.0000,1.8178,0.000010
93,0.0000,1.8177,0.000004
94,0.0000,1.8170,0.000019
95,0.0000,1.8170,0.000001
96,0.0000,1.8181,0.000029
97,0.0000,1.8195,0.000040
98,0.0000,1.8205,0.000026
99,0.0000,1.8226,0.000055
100,0.0000,1.8240,0.000038
101,0.0000,1.8239,0.000001
102,0.0000,1.8231,0.000023
103,0.0000,1.8232,0.000003
104,0.0000,1.8222,0.000026
105,0.0000,1.8223,0.000002
106,0.0000,1.8223,0.000000
107,0.0000,1.8225,0.000004
108,0.0000,1.8221,0.000010
109,0.0000,1.8218,0.000008
110,0.0000,1.8208,0.000028
111,0.0000,1.8199,0.000022
