epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6503,2.43814,4.08483,1.7966,0.375,0.29167,0.2376,0.10168,2.16833,2.74909,1.53996,0.000552127,0.000552127,0.000552127
2,34.4594,2.43627,3.59414,1.80182,0.48313,0.51618,0.42849,0.15659,2.15296,3.15294,1.62887,0.00108586,0.00108586,0.00108586
3,50.1635,2.39858,3.087,1.7953,0.43276,0.49278,0.41055,0.14055,2.32774,2.89456,1.70366,0.00159759,0.00159759,0.00159759
4,65.1937,2.341,2.88157,1.75096,0.52969,0.34167,0.37714,0.14558,2.18779,2.20292,1.6136,0.00156798,0.00156798,0.00156798
5,80.3015,2.28949,2.65217,1.72011,0.65269,0.46741,0.50973,0.18313,2.29697,1.87485,1.63646,0.00153497,0.00153497,0.00153497
6,95.349,2.23718,2.41008,1.66114,0.6604,0.51641,0.54888,0.24169,1.97719,1.90054,1.49031,0.00150197,0.00150197,0.00150197
7,111.094,2.20423,2.26685,1.64404,0.59216,0.53333,0.59208,0.24821,1.91366,1.77414,1.43365,0.00146896,0.00146896,0.00146896
8,126.671,2.16916,2.15533,1.58876,0.62312,0.56828,0.56682,0.20575,2.23439,1.72749,1.59747,0.00143595,0.00143595,0.00143595
9,141.804,2.1064,2.05039,1.55743,0.69706,0.60781,0.64148,0.27555,1.99253,1.56534,1.42052,0.00140295,0.00140295,0.00140295
10,156.907,2.12772,2.04394,1.56571,0.56429,0.6595,0.67756,0.29474,1.88117,1.49596,1.3794,0.00136994,0.00136994,0.00136994
11,172.213,2.0911,1.96803,1.54096,0.80286,0.64049,0.70862,0.29273,1.99846,1.63467,1.4291,0.00133693,0.00133693,0.00133693
12,187.43,2.05538,1.90695,1.52745,0.81149,0.65833,0.73127,0.33137,1.81435,1.40722,1.37615,0.00130393,0.00130393,0.00130393
13,203.206,2.00358,1.79414,1.49791,0.74115,0.61846,0.68844,0.27997,1.96732,1.59855,1.42459,0.00127092,0.00127092,0.00127092
