epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2108,2.27085,4.59889,1.71672,0.39435,0.20752,0.1929,0.0746,2.27906,3.20842,1.79166,0.000554808,0.000554808,0.000554808
2,37.4703,2.43021,3.45587,1.87924,0.35463,0.29269,0.22227,0.06828,2.39108,2.45951,1.88995,0.00110498,0.00110498,0.00110498
3,54.5955,2.49788,3.09181,1.96625,0.40598,0.26635,0.22751,0.0809,2.41084,2.60846,1.97123,0.00164965,0.00164965,0.00164965
4,70.9929,2.47695,3.02901,1.96504,0.3973,0.32006,0.26617,0.10327,2.38878,2.38425,1.92131,0.00164225,0.00164225,0.00164225
5,87.6286,2.35381,2.79175,1.87208,0.39284,0.32852,0.28062,0.09967,2.2056,2.46617,1.87343,0.00163399,0.00163399,0.00163399
6,104.675,2.34822,2.76352,1.83859,0.49232,0.33201,0.34026,0.14421,2.12695,2.23999,1.76379,0.00162574,0.00162574,0.00162574
7,121.147,2.26673,2.57438,1.81256,0.48073,0.36123,0.38105,0.17042,2.00532,2.10534,1.71917,0.00161749,0.00161749,0.00161749
8,137.713,2.18243,2.4565,1.77025,0.54914,0.38503,0.38991,0.16375,1.95375,2.04552,1.67234,0.00160924,0.00160924,0.00160924
9,154.032,2.11692,2.46775,1.72925,0.42554,0.41086,0.38872,0.15545,1.93795,2.05406,1.6668,0.00160099,0.00160099,0.00160099
10,170.265,2.10642,2.39801,1.72131,0.533,0.39935,0.38397,0.15017,1.97776,2.02895,1.66579,0.00159274,0.00159274,0.00159274
11,186.521,2.08917,2.39346,1.71841,0.66717,0.37434,0.45082,0.18787,1.91401,1.94654,1.67313,0.00158448,0.00158448,0.00158448
12,202.905,2.06798,2.29443,1.66909,0.59244,0.46765,0.46938,0.21399,1.79196,1.8298,1.58273,0.00157623,0.00157623,0.00157623
13,219.296,1.94206,2.22308,1.63561,0.70623,0.44805,0.52621,0.23087,1.81884,1.75422,1.59837,0.00156798,0.00156798,0.00156798
14,235.549,1.9807,2.18985,1.6268,0.61722,0.47682,0.52006,0.23166,1.74537,1.72364,1.54708,0.00155973,0.00155973,0.00155973
15,251.974,1.97955,2.16612,1.62895,0.63893,0.45607,0.52813,0.22652,1.81506,1.7186,1.58323,0.00155148,0.00155148,0.00155148
16,268.379,1.96585,2.11471,1.61815,0.57627,0.46837,0.48772,0.21062,1.87603,1.81723,1.63772,0.00154323,0.00154323,0.00154323
17,284.567,1.93866,2.08767,1.60021,0.64372,0.44745,0.50855,0.2403,1.76146,1.80394,1.51557,0.00153497,0.00153497,0.00153497
18,301.098,1.91312,2.01117,1.58757,0.67742,0.46039,0.55072,0.26838,1.74848,1.70203,1.53639,0.00152672,0.00152672,0.00152672
19,317.801,1.9121,2.01425,1.5869,0.61901,0.51877,0.58628,0.27896,1.69522,1.65717,1.49021,0.00151847,0.00151847,0.00151847
20,334.377,1.85198,1.96765,1.53646,0.74369,0.55772,0.62259,0.28176,1.71995,1.57746,1.52806,0.00151022,0.00151022,0.00151022
21,350.917,1.86727,1.94966,1.55659,0.64563,0.56229,0.5942,0.27749,1.64265,1.56925,1.46684,0.00150197,0.00150197,0.00150197
22,367.193,1.89144,2.01139,1.56877,0.75177,0.52477,0.61247,0.29333,1.64771,1.48592,1.47461,0.00149372,0.00149372,0.00149372
23,383.89,1.79341,1.86232,1.49437,0.71762,0.5575,0.65946,0.30706,1.6268,1.51707,1.43937,0.00148546,0.00148546,0.00148546
24,400.401,1.7997,1.81621,1.5001,0.79281,0.51171,0.61753,0.30378,1.62939,1.41544,1.43162,0.00147721,0.00147721,0.00147721
25,416.727,1.79237,1.82666,1.50945,0.7311,0.57577,0.63445,0.31203,1.65692,1.4992,1.45355,0.00146896,0.00146896,0.00146896
26,433.153,1.77373,1.78791,1.4556,0.65776,0.59728,0.64715,0.31691,1.60643,1.47373,1.41514,0.00146071,0.00146071,0.00146071
27,449.578,1.78672,1.7984,1.49512,0.75611,0.526,0.63722,0.30974,1.56355,1.48719,1.40146,0.00145246,0.00145246,0.00145246
28,465.836,1.74002,1.73689,1.45776,0.7339,0.54472,0.6142,0.31833,1.62969,1.4889,1.43723,0.00144421,0.00144421,0.00144421
29,482.427,1.76313,1.74663,1.48731,0.72301,0.52165,0.58681,0.30816,1.55846,1.39925,1.39382,0.00143595,0.00143595,0.00143595
30,498.786,1.74586,1.74463,1.46199,0.72492,0.58273,0.63958,0.31871,1.60409,1.39813,1.41094,0.0014277,0.0014277,0.0014277
31,516.05,1.72481,1.714,1.43751,0.74446,0.53764,0.62063,0.3289,1.52014,1.50118,1.35958,0.00141945,0.00141945,0.00141945
32,534.214,1.70325,1.65461,1.42828,0.81077,0.58946,0.67403,0.34024,1.54536,1.24694,1.37002,0.0014112,0.0014112,0.0014112
33,551.457,1.68238,1.62281,1.41623,0.74676,0.55736,0.64376,0.32421,1.54455,1.31598,1.36985,0.00140295,0.00140295,0.00140295
34,567.811,1.70578,1.63643,1.42497,0.75928,0.55285,0.6716,0.32903,1.62979,1.25175,1.43795,0.0013947,0.0013947,0.0013947
35,584.302,1.7143,1.64549,1.43081,0.70673,0.59476,0.66556,0.34034,1.54505,1.27088,1.36703,0.00138644,0.00138644,0.00138644
36,601.189,1.66655,1.60467,1.40456,0.74158,0.6265,0.69651,0.37299,1.52137,1.24856,1.36024,0.00137819,0.00137819,0.00137819
37,617.674,1.68635,1.58644,1.42072,0.7066,0.66017,0.70295,0.37418,1.47303,1.20532,1.33448,0.00136994,0.00136994,0.00136994
38,634.337,1.68429,1.604,1.40614,0.70662,0.64707,0.69727,0.35437,1.50769,1.27441,1.33124,0.00136169,0.00136169,0.00136169
39,650.941,1.63077,1.50874,1.38051,0.79471,0.60913,0.70645,0.36943,1.51696,1.22157,1.37143,0.00135344,0.00135344,0.00135344
40,667.321,1.63999,1.54502,1.37577,0.73903,0.61838,0.73369,0.37755,1.48882,1.1928,1.35894,0.00134519,0.00134519,0.00134519
41,683.911,1.60975,1.5172,1.37833,0.76924,0.62085,0.73057,0.38273,1.43858,1.2084,1.31404,0.00133693,0.00133693,0.00133693
42,700.484,1.64227,1.52077,1.36283,0.76286,0.66029,0.73831,0.39783,1.45607,1.18507,1.32958,0.00132868,0.00132868,0.00132868
43,717.055,1.62658,1.52855,1.37232,0.71198,0.64192,0.72264,0.38746,1.42614,1.1174,1.3285,0.00132043,0.00132043,0.00132043
44,733.314,1.62751,1.48628,1.35753,0.69552,0.70406,0.73994,0.38915,1.41995,1.11549,1.31001,0.00131218,0.00131218,0.00131218
45,749.49,1.61043,1.47306,1.36302,0.79173,0.59888,0.72768,0.38406,1.41475,1.0871,1.32833,0.00130393,0.00130393,0.00130393
46,765.669,1.60674,1.50391,1.36583,0.77735,0.70623,0.75993,0.40409,1.37416,1.08244,1.28628,0.00129568,0.00129568,0.00129568
47,782.014,1.61247,1.47297,1.37094,0.77461,0.65055,0.73033,0.38226,1.46642,1.17828,1.31928,0.00128742,0.00128742,0.00128742
48,798.174,1.61226,1.47605,1.34949,0.82764,0.6556,0.7712,0.39597,1.45111,1.05049,1.3384,0.00127917,0.00127917,0.00127917
49,814.355,1.58029,1.42549,1.33105,0.78196,0.68975,0.76363,0.40918,1.38472,1.07168,1.297,0.00127092,0.00127092,0.00127092
50,830.789,1.56786,1.43488,1.34152,0.7682,0.66163,0.77414,0.38979,1.45698,1.10114,1.3393,0.00126267,0.00126267,0.00126267
51,847.228,1.55072,1.44527,1.33126,0.81481,0.70142,0.78534,0.42516,1.36023,1.02238,1.27004,0.00125442,0.00125442,0.00125442
52,864.42,1.52789,1.35604,1.31364,0.78976,0.68868,0.80155,0.43069,1.40352,0.99279,1.27014,0.00124617,0.00124617,0.00124617
53,881.011,1.5418,1.37762,1.33353,0.8511,0.63084,0.78701,0.40782,1.41357,1.0177,1.28876,0.00123791,0.00123791,0.00123791
